episode,total_reward,avg_response_min,icu_surge_count,diversions,triage_accuracy,epsilon
530,2108.85,1.66,8,8,68.0,0.2034
531,2203.52,1.66,7,13,70.0,0.2028
532,2415.82,1.52,6,5,70.0,0.2022
533,2363.59,1.67,0,2,66.0,0.2016
534,2477.83,1.39,7,8,72.0,0.201
535,2398.97,1.52,7,8,82.0,0.2004
536,2450.06,1.58,3,10,60.0,0.1998
537,2327.09,1.48,6,5,80.0,0.1992
538,2471.68,1.73,4,4,78.0,0.1986
539,2657.7,1.55,4,10,82.0,0.198
540,2334.79,1.57,7,4,80.0,0.1974
541,2589.55,1.57,3,4,72.0,0.1968
542,2907.98,1.47,6,5,66.0,0.1962
543,2502.87,1.54,6,7,72.0,0.1956
544,2471.14,1.37,4,4,64.0,0.1951
545,2412.14,1.56,2,4,66.0,0.1945
546,2516.35,1.49,0,6,68.0,0.1939
547,2504.78,1.64,1,7,64.0,0.1933
548,2250.78,1.58,9,6,58.0,0.1927
549,2801.42,1.46,4,8,74.0,0.1922
550,2284.25,1.68,8,8,72.0,0.1916
551,2474.82,1.44,3,3,62.0,0.191
552,2679.11,1.45,9,10,66.0,0.1904
553,2818.3,1.47,6,7,68.0,0.1899
554,2324.8,1.64,4,5,70.0,0.1893
555,2393.21,1.55,7,8,74.0,0.1887
556,2172.1,1.52,3,6,74.0,0.1882
557,2807.07,1.46,11,8,78.0,0.1876
558,2677.06,1.52,2,3,78.0,0.187
559,2805.48,1.72,2,7,74.0,0.1865
560,2463.55,1.59,7,9,68.0,0.1859
561,2436.07,1.64,7,6,80.0,0.1853
562,2274.35,1.56,7,8,72.0,0.1848
563,2632.13,1.55,5,7,62.0,0.1842
564,2580.21,1.47,5,8,76.0,0.1837
565,2519.74,1.54,3,6,78.0,0.1831
566,2351.28,1.59,2,3,74.0,0.1826
567,2400.15,1.51,4,8,66.0,0.182
568,2239.9,1.54,5,9,70.0,0.1815
569,2577.81,1.58,6,6,76.0,0.1809
570,2510.81,1.58,2,5,74.0,0.1804
571,2653.19,1.58,2,2,60.0,0.1799
572,2888.92,1.47,2,2,70.0,0.1793
573,2542.63,1.6,6,7,80.0,0.1788
574,2585.91,1.54,0,6,58.0,0.1782
575,2586.0,1.56,5,5,66.0,0.1777
576,2268.19,1.58,3,9,72.0,0.1772
577,2484.98,1.65,6,9,78.0,0.1766
578,2722.92,1.52,7,3,70.0,0.1761
579,2492.31,1.46,3,4,76.0,0.1756
580,2098.91,1.54,2,2,68.0,0.1751
581,2393.35,1.49,3,4,68.0,0.1745
582,2449.64,1.66,1,7,70.0,0.174
583,2861.19,1.54,3,2,76.0,0.1735
584,2274.31,1.62,10,4,68.0,0.173
585,2781.93,1.68,3,8,76.0,0.1725
